id,title,description,url,createDate,modifyDate,completed,numParts,deleted,length,categoryId,categoryName,languageId,languageName,mature,rating,tags,commentCount,readCount,voteCount,userAvatar,userFullname,userName
141757524,Siren's Eye → Klance,"• Keith is a merman set to kill, but something stops him from killing one man.
      - A short story, short chapters, expressing the life of Keith and his interest in one human's life. 
      • Date started: 3/13/2018
      • Cover Art by: luty_chan",https://www.wattpad.com/story/141757524-siren%27s-eye-%E2%86%92-klance,2018-03-13T17:44:33Z,2018-03-13T23:55:43Z,False,3,False,3606,6,Fanfiction,1,English,False,1,"['keithkogane', 'keithxlance', 'klance', 'lancemcclain', 'vld', 'voltron']",7,55,21,https://a.wattpad.com/useravatar/bondingmoment.128.478264.jpg,hannah,bondingmoment
133161907,Random Posts ,Too many randoms,https://www.wattpad.com/story/133161907-random-posts,2017-12-27T05:27:13Z,2018-03-13T23:30:14Z,False,32,False,6006,19,Random,1,English,False,1,"['random', 'scrapsofjunk']",41,192,9,https://a.wattpad.com/useravatar/CatsBooksGemini.128.625454.jpg,Yutaka Kase,CatsBooksGemini
141766153,Fan-fiction//Chuck,"Fluff fan-Fiction. 
You and Chuck are best friends, and constantly pull pranks on the other gladers. He suggests pulling a prank on Newt, but you refuse because as you say ""he's to nice, I don't want to hurt his feelings"" After saying that, Chuck suspects that you like Newt. You get defensive saying you don't, but that just makes Chuck suspect even more.",https://www.wattpad.com/story/141766153-fan-fiction-chuck,2018-03-13T19:45:20Z,2018-03-13T23:30:19Z,False,1,False,2489,6,Fanfiction,1,English,False,0,"['chuck', 'newt', 'themazerunner']",0,0,0,https://a.wattpad.com/useravatar/tmr_fanfics.128.718801.jpg,,tmr_fanfics
136753573,The Other Half (scomiche),"Mitch Grassi has gotten everything handed to him on a silver platter. It's something he's taken for granted his whole life. The thought of going to college and then getting a job stressed him out, so at twenty he's still at home and doing close to nothing.

Scott Hoying has the opposite of a privileged life. He dropped out of high school his Junoir year just so he'd be able to make enough money to support his unborn child. It's not an amazing life, but he'll do anything to make sure his daughter doesn't have to go through what he's been through.

When they meet, due to something that was never meant to happen, what will their reactions be? Will two opposites become friends and maybe much more, or will they pick apart at each other until there's nothing left?",https://www.wattpad.com/story/136753573-the-other-half-scomiche,2018-01-28T05:17:55Z,2018-03-13T23:30:05Z,False,7,False,40560,6,Fanfiction,1,English,False,0,"['avikaplan', 'father-daughter', 'hardship', 'kevinolusola', 'kirstiemaldonado', 'mitchgrassi', 'opposites', 'pentatonix', 'romance', 'scomiche', 'scotthoying', 'superfruit']",181,779,157,https://a.wattpad.com/useravatar/BigBoyCikada.128.509910.jpg,Mary 😈,BigBoyCikada
141669466,Never Have I Ever {dirty version},: lets play,https://www.wattpad.com/story/141669466-never-have-i-ever-dirty-version,2018-03-12T19:31:41Z,2018-03-13T23:30:10Z,False,40,False,2280,19,Random,1,English,False,0,"['addicted', 'dirty', 'freaky', 'passion', 'version', 'vibe']",666,1367,371,https://a.wattpad.com/useravatar/honeylouiee.128.985232.jpg,ᴳᴼᴸᴰ ᴳᴬᴸᴼᴿᴱ ??,honeylouiee
138781333,Eddsworld x Child,something of randomness cause I am bored so here is a crapy story,https://www.wattpad.com/story/138781333-eddsworld-x-child,2018-02-15T14:09:19Z,2018-03-13T23:30:07Z,False,2,False,308,19,Random,1,English,False,0,['ummm'],3,12,1,https://a.wattpad.com/useravatar/6.128.jpg,GAYNESS OVERLORD,GaynessGod
92415724,A Maniac's Art Book,"Hey dudes! As you can see in some of my books, i draw tmnt. But i also draw Undertale! And Vanossgaming and etc- You guessed it! This will be the book where i will post my art! Any art! Whether it being fandom related or not! So be prepared to see what a maniac like me can draw!",https://www.wattpad.com/story/92415724-a-maniac%27s-art-book,2016-12-08T05:15:09Z,2018-03-13T23:30:08Z,False,5,False,1441,19,Random,1,English,False,0,"['art', 'digitalart', 'fan', 'markers', 'myfandomart', 'nontcest', 'paint', 'pastel', 'tcest', 'tmnt', 'traditionalart']",9,59,17,https://a.wattpad.com/useravatar/DatOneManiac.128.984027.jpg,,DatOneManiac
139732759,Messages 4,"Hewwo bickahz ish time for randomness book FOUR





DUN DUN DUUUUUUUUN











Fluq yea",https://www.wattpad.com/story/139732759-messages-4,2018-02-24T13:22:28Z,2018-03-13T23:29:56Z,False,56,False,41475,19,Random,1,English,False,0,"['becuzlegos', 'caseysavageshouldbecomeherrealnamesooneromgjaceyiscute', 'caseythefox', 'caseywilde', 'hashtag', 'jacey', 'jacksavage', 'messages', 'okayfineillstopwitdemhashtagz']",697,882,375,https://a.wattpad.com/useravatar/CaseyTheFox.128.967291.jpg,iM qUeEn BoI,CaseyTheFox
97809276,Two Of A Kind,The story of 18 year old twins Emily and Ashley Richard,https://www.wattpad.com/story/97809276-two-of-a-kind,2017-01-28T05:49:44Z,2018-03-13T23:29:57Z,False,16,False,19899,1,Teen Fiction,1,English,False,1,"['college', 'fiction', 'ocs', 'teens', 'twins']",12,119,30,https://a.wattpad.com/useravatar/SmhxGisellee.128.167655.jpg,Gisellee ☁️,SmhxGisellee
138332598,MS NERD MEETS MR YABANG,"HI GUYS KYLER KATE IS HERE I WANT TO YOU TO READ MY STORY 
IM NOT DOING PLAGRIZE 
THIS IS  MY FIRST STORY EVER!",https://www.wattpad.com/story/138332598-ms-nerd-meets-mr-yabang,2018-02-11T03:36:04Z,2018-03-13T23:29:58Z,False,4,False,5623,4,Romance,1,English,False,1,"['forever', 'handsome', 'love', 'nerd']",0,22,2,https://a.wattpad.com/useravatar/kyler_kate.128.769033.jpg,MARJORIE CABAN,kyler_kate
