LANGUAGE_CODE
en
fr
it
de
es
pt-PT
pt-BR
ru
zh-TW
ja
ko
zh-CN
nl
pl
ro
ar
he
tl
vi
id
hi
ms
tr
cs
ml
sv
nn
hu
da
el
fa
th
is
fi
et
lv
lt
ca
bs
sr
hr
sl
bg
sk
be
uk
bn
ur
ta
sw
af
gu
or
pa
as
mr
